,first,second,third
412,"['5c', 'Qs', '5d', '4c', 'Ac']",[],[]
413,[],[],[]
414,"['4h', 'Ks', 'Jd', '8c', '4d']",[],[]
415,"['8s', '3h', '6s', '9d', '9c']",[],[]
416,"['Ah', 'Ks', '4c', '4s', 'Kc']",[],[]
417,[],[],[]
418,"['Qs', 'As', '2s', 'Qc', 'Js']",[],[]
419,"['Kh', '2s', '2h']",[],[]
420,"['2c', 'Kc', '3h']",[],[]
421,[],[],[]
422,"['Ts', '8s', '9d', '5d', 'Qd']",[],[]
423,"['2c', '2h', 'Ks', '8d', '7s']",[],[]
424,[],[],[]
425,"['4c', '4d', '2s', '6d', 'Tc']",[],[]
426,[],[],[]
427,[],[],[]
428,"['7c', 'Th', '5c', '2d', '2c']",[],[]
429,[],[],[]
430,"['8c', 'Jc', 'Ts', '7c', '6d']",[],[]
431,"['6c', '5h', '7h']",[],[]
432,"['5s', '7c', '2h']",[],[]
433,"['Qd', '2d', '6c', '3h', 'As']",[],[]
434,"['Jh', '9s', '9h', '3d', 'Js']",[],[]
435,[],[],[]
436,[],[],[]
437,"['Ad', '8s', '8d']",[],[]
438,"['Ks', '6h', 'Jd', '8d', '5d']",[],[]
439,"['4s', 'Td', 'Jd', '3d', 'Jh']",[],[]
440,"['Ts', 'Ad', '4s', '8c']",[],[]
441,[],[],[]
442,"['5h', 'Ks', '3d', '4s', '5s']",[],[]
443,[],[],[]
444,[],[],[]
445,"['5h', 'Ah', '9h', '6c', 'Ts']",[],[]
446,"['Th', '2h', '3c', '5s', '4d']",[],[]
447,"['8d', 'As', '8c']",[],[]
448,[],[],[]
449,"['9s', '5h', 'Qh', 'Kd', '9h']",[],[]
450,[],[],[]
451,"['9c', 'Ac', '4s']",[],[]
452,"['Ad', 'Td', '7d', '2d', '6c']",[],[]
453,[],[],[]
454,"['Jh', 'Kh', '7h', '6c', '9d']",[],[]
455,"['4d', '7s', '2c', '9d']",[],[]
456,"['5d', '8s', '7c']",[],[]
457,"['Ks', '7s', '2d', '3h', 'Qh']",[],[]
458,"['2s', 'Qh', '8d', '5c']",[],[]
459,"['2d', '5d', '6d']",[],[]
460,[],[],[]
461,"['Kc', 'As', '5s', 'Ts', '7h']",[],[]
462,"['Qc', '2s', '3h']",[],[]
463,"['3h', '2c', 'Td']",[],[]
464,"['6c', 'Kh', 'Ac']",[],[]
465,"['9c', 'Js', '2c', '7d', '5c']",[],[]
466,[],[],[]
467,[],[],[]
468,"['4h', '3s', '2c', 'Ts', '4c']",[],[]
469,[],[],[]
470,"['Qd', 'Td', 'Js', '8d']",[],[]
471,[],[],[]
472,[],[],[]
473,[],[],[]
474,[],[],[]
475,[],[],[]
476,"['Jc', '5d', '6h']",[],[]
477,"['Td', 'Ah', '5d', '8c', '4c']",[],[]
478,[],[],[]
479,[],[],[]
480,"['Kh', '5h', 'Ac', '4d', '4c']",[],[]
481,[],[],[]
482,[],[],[]
483,[],[],[]
484,"['8h', '2h', '5s', '7c', '9s']",[],[]
485,"['7s', '5h', 'Ts', '4c', '5c']",[],[]
486,"['4h', '5h', '5c', 'Ks']",[],[]
487,"['Jd', '7h', '3s', '5c', '5s']",[],[]
488,[],[],[]
489,[],[],[]
490,[],[],[]
491,"['9d', 'Js', 'Kh', 'Qs', '6s']",[],[]
492,[],[],[]
493,"['Qd', '9s', '5d', 'Ks']",[],[]
494,[],[],[]
495,[],[],[]
496,"['Td', 'Ad', '6h']",[],[]
497,"['5h', 'Kd', 'Jc', '8c', 'Qs']",[],[]
498,[],[],[]
499,"['Ah', 'Qs', '9c']",[],[]
500,"['Qd', '5s', 'Td', 'Ad']",[],[]
501,[],[],[]
502,"['Jc', '2s', 'Tc', '4d', '9s']",[],[]
503,[],[],[]
504,"['Th', '9d', 'Js', '3s', '2c']",[],[]
505,"['Th', '6h', '2h']",[],[]
506,[],[],[]
507,[],[],[]
508,"['As', 'Ah', '5c']",[],[]
509,[],[],[]
510,"['4s', 'Ac', '5s', '5h', '6h']",[],[]
511,"['8d', 'Js', 'Ac', '3c', '9s']",[],[]
512,"['Td', '2d', '4d', '4s']",[],[]
513,"['6c', 'Kc', '3s', 'Qs', 'Qd']",[],[]
514,"['2d', 'Qs', 'Ks', '9c', '7c']",[],[]
515,"['9d', '6c', 'Js', 'Td', '9h']",[],[]
516,[],[],[]
517,[],[],[]
518,[],[],[]
519,"['7d', '2s', '8s']",[],[]
520,"['6h', '8d', 'Ac', '6c', '2s']",[],[]
521,"['5h', '7s', '5d', '9s', '5s']",[],[]
522,"['Qd', '4h', 'Tc', '8h', '9h']",[],[]
523,"['9s', 'Ad', '8s']",[],[]
524,[],[],[]
525,"['Ks', 'Ad', '3d', '3s', 'Ah']",[],[]
526,"['8c', '7h', 'Ks', 'Td', '5s']",[],[]
527,[],[],[]
528,"['4c', '9h', '3h']",[],[]
529,"['Jc', 'Th', '7c']",[],[]
530,"['4d', 'Th', 'Qh']",[],[]
531,[],[],[]
532,"['4s', 'Qs', '5h', '3s', 'Ts']",[],[]
533,"['Kc', '4s', '5c', '4d']",[],[]
534,"['4c', '5s', '4d', 'Qh', '5h']",[],[]
535,"['3h', '9c', '5h', '9s', '6s']",[],[]
536,[],[],[]
537,[],[],[]
538,"['Jh', 'Jc', 'Ks', '2h', '4h']",[],[]
539,[],[],[]
540,"['3h', '7c', '6d', 'Js', '5s']",[],[]
541,"['2s', 'Tc', '3d']",[],[]
542,"['6d', '7h', '2d']",[],[]
543,[],[],[]
544,[],[],[]
545,[],[],[]
546,"['7s', '4d', 'Kd', '6h', '9d']",[],[]
547,"['Qs', '8s', '7d']",[],[]
548,"['As', '5c', 'Th', '9h']",[],[]
549,[],[],[]
550,[],[],[]
551,[],[],[]
552,"['7c', '5s', 'Jd', 'Qh', '4s']",[],[]
553,[],[],[]
554,[],[],[]
555,"['8d', '6s', '3h', 'Qs', 'Jc']",[],[]
556,"['Ac', 'Kh', '6h', '9d', '3d']",[],[]
557,[],[],[]
558,[],[],[]
559,"['Ac', 'Ts', '5d', '7h']",[],[]
560,"['6d', '9d', 'Js']",[],[]
561,[],[],[]
562,[],[],[]
563,[],[],[]
564,"['9s', '2s', 'Kh']",[],[]
565,[],[],[]
566,[],[],[]
567,[],[],[]
568,"['Qs', '9h', 'Qh', '9s', '7d']",[],[]
569,[],[],[]
570,"['5s', '7d', 'Qd', 'Kh', '7c']",[],[]
571,"['3c', 'Kc', '9s', '5d', 'Qc']",[],[]
572,"['9s', 'Kc', '5c', '5h', '2c']","['6c', '7c']",[]
573,[],[],[]
574,[],[],[]
575,[],[],[]
576,[],[],[]
577,"['Kc', '8c', 'Td', 'Qs', '5s']",[],[]
578,"['Jh', 'Qd', '6h', '4h']",[],[]
579,[],[],[]
580,"['9d', 'Qc', '2d', '4h', 'As']",[],[]
581,[],[],[]
582,"['8d', 'Js', 'Jd', '3h', '5s']",[],[]
583,[],[],[]
584,"['8d', '3c', '9c']",[],[]
585,"['7s', '6s', '8d', 'Ks', '5s']","['2s', 'Td', '6h', 'Qc', 'Qs']",[]
586,[],[],[]
587,"['9s', 'Kd', '6s', 'Qh', 'Ts']",[],[]
588,"['6d', 'Tc', '7h']",[],[]
589,[],[],[]
590,"['4d', '9h', 'Tc', '6c', '6d']",[],[]
591,"['2c', '4s', 'Qh', '3c', '7h']",['Ah'],[]
592,[],[],[]
593,"['Td', '5c', '6c', '7d', '9d']",[],[]
594,[],[],[]
595,"['5s', '9h', '8h', '2d', 'Th']",[],[]
596,[],[],[]
597,"['3c', 'Kc', 'Ad', '4s', '6h']",[],[]
598,[],[],[]
599,"['8h', 'Jc', '7h', '5s', '3h']",[],[]
600,"['6d', '8s', '4s', '3c', 'Ac']",[],[]
601,"['4s', 'Th', 'Qd', '5c', '6h']",[],[]
602,"['2h', '3h', '9d', '4s']",[],[]
603,"['4h', 'Th', 'Tc', '7h']",[],[]
604,[],[],[]
605,"['Td', '5s', 'Tc', '6d']",[],[]
606,"['Ad', '7d', 'Ks']",[],[]
607,[],[],[]
608,"['Js', '9h', '4c', '4h', '3d']",[],[]
609,[],[],[]
610,[],[],[]
611,[],[],[]
612,"['Kh', '5c', '4c', '9c', 'Qs']",[],[]
613,[],[],[]
614,"['6h', '4s', 'Jc', 'Kc', 'Jd']",[],[]
615,"['2d', '8d', '4d', 'Ah', '9d']",[],[]
616,"['As', '4d', '6h', '3h']",[],[]
617,"['Ah', '6d', 'As']",[],[]
618,"['Jh', '8c', 'Kh', '6d', '2c']",[],[]
619,[],[],[]
620,"['Ts', 'Tc', 'Jc', 'Ks', '4h']",[],[]
621,"['7h', '4d', 'Jd']",[],[]
622,"['5h', 'Ts', '6s', '2s', '4h']",[],[]
623,"['As', '5s', 'Th']",[],[]
624,[],[],[]
625,[],[],[]
626,"['3h', '9c', 'Jc']",[],[]
627,"['8h', 'Kd', '3c']",[],[]
628,"['Jc', 'Ad', '8s', 'Ks', '5c']",[],[]
629,"['7c', '2d', '3s', '9h', '4h']",[],[]
630,[],[],[]
631,"['9d', '2h', '5d', '4s', 'Jc']",[],[]
632,"['Qh', 'Ah', 'Ad', '5s']",[],[]
633,"['2d', 'Js', '3h', 'Qh', 'Jc']",[],[]
634,"['7c', '5d', 'Qh', '3d', '2h']",[],[]
635,"['8h', 'Qc', '6d']",[],[]
636,"['Jd', '7d', 'Ts']",[],[]
637,"['4s', 'As', '2s']",[],[]
638,[],[],[]
639,[],[],[]
640,"['Ac', '5h', '2h']",[],[]
641,[],[],[]
642,"['Qd', '3s', '3c']",[],[]
643,"['3c', '6c', 'Ac', '8d', 'Ad']",[],[]
644,[],[],[]
645,"['4d', '6d', '8c', 'Ks']",[],[]
646,[],[],[]
647,"['Td', '3d', '7d', 'Ac', '8c']",[],[]
648,"['Td', '5s', '3s', '3c', 'Kc']","['3d', '5d', '9c', '2c', '8d']","['4h', '4d', '9d', '9s', 'Jc']"
649,[],[],[]
650,"['Ah', '7h', 'Kc', '6d', 'Qd']",[],[]
651,[],[],[]
652,"['Ad', '5c', '3s', 'Qs']",[],[]
653,[],[],[]
654,[],[],[]
655,"['6d', 'Kh', 'Jh', '9d', 'Qs']",[],[]
656,[],[],[]
657,[],[],[]
658,"['Jc', 'Jh', '6d', 'Qs']",[],[]
659,[],[],[]
660,"['7s', '3d', '6c', 'Tc']",[],[]
661,"['Js', 'Qh', '8s', '6s', '5h']",[],[]
662,[],[],[]
663,[],[],[]
664,[],[],[]
665,[],[],[]
666,"['2h', '8s', '9s', 'Ts']",[],[]
667,[],[],[]
668,[],[],[]
669,"['Qs', '7c', 'Ah']",[],[]
670,[],[],[]
671,"['Jh', '7d', '9h', '6h']",[],[]
