,id,order,value
4838,1080,Hero,1.0
4841,1083,Hero,1.0
4842,1084,Hero,6.0
4848,1090,Hero,7.0
4849,1091,Hero,1.0
4853,1095,Hero,1.0
4855,1097,Hero,4.0
4856,1098,Hero,7.0
4858,1100,Hero,2.0
4859,1101,Hero,1.0
4860,1102,Hero,2.0
4864,1106,Hero,11.0
4866,1108,Hero,15.0
4867,1109,Hero,2.0
4872,1114,Hero,2.0
4874,1116,Hero,1.0
4875,1117,Hero,1.0
4876,1118,Hero,18.0
4879,1121,Hero,2.0
4880,1122,Hero,34.0
4884,1126,Hero,1.0
4885,1127,Hero,2.0
4888,1130,Hero,5.0
4891,1133,Hero,1.0
4892,1134,Hero,5.0
4894,1136,Hero,247.0
4896,1138,Hero,2.0
4897,1139,Hero,46.0
4899,1141,Hero,15.0
4901,1143,Hero,5.0
4903,1145,Hero,2.0
4904,1146,Hero,5.0
4905,1147,Hero,2.0
4906,1148,Hero,276.0
4911,1153,Hero,2.0
4912,1154,Hero,5.0
4916,1158,Hero,2.0
4918,1160,Hero,29.0
4923,1165,Hero,2.0
4924,1166,Hero,2.0
4929,1171,Hero,2.0
4930,1172,Hero,5.0
4931,1173,Hero,103.0
4933,1175,Hero,5.0
4934,1176,Hero,2.0
4935,1177,Hero,40.0
4941,1183,Hero,2.0
4942,1184,Hero,17.0
4946,1188,Hero,37.0
4947,1189,Hero,2.0
4948,1190,Hero,5.0
4954,1196,Hero,2.0
4955,1197,Hero,5.0
4956,1198,Hero,505.0
4957,1199,Hero,15.0
4959,1201,Hero,35.0
4961,1203,Hero,2.0
4962,1204,Hero,2.0
4967,1209,Hero,2.0
4968,1210,Hero,5.0
4971,1213,Hero,15.0
4972,1214,Hero,15.0
4975,1217,Hero,2.0
4980,1222,Hero,5.0
4981,1223,Hero,5.0
4984,1226,Hero,135.0
4985,1227,Hero,2.0
4991,1233,Hero,2.0
4992,1234,Hero,5.0
4996,1238,Hero,17.0
4997,1239,Hero,5.0
4998,1240,Hero,2.0
5003,1245,Hero,2.0
5004,1246,Hero,5.0
5010,1252,Hero,2.0
5011,1253,Hero,5.0
5012,1254,Hero,275.0
5013,1255,Hero,30.0
5014,1256,Hero,17.0
5016,1258,Hero,31.0
5020,1262,Hero,5.0
5021,1263,Hero,2.0
5022,1264,Hero,46.0
5024,1266,Hero,55.0
5025,1267,Hero,2.0
5026,1268,Hero,5.0
5029,1271,Hero,32.0
5031,1273,Hero,2.0
5032,1274,Hero,5.0
5038,1280,Hero,50.0
5039,1281,Hero,5.0
5041,1283,Hero,116.0
5043,1285,Hero,2.0
5044,1286,Hero,15.0
5045,1287,Hero,5.0
5046,1288,Hero,139.0
5049,1291,Hero,2.0
5050,1292,Hero,5.0
5055,1297,Hero,2.0
5056,1298,Hero,17.0
5059,1301,Hero,81.0
5062,1304,Hero,17.0
5063,1305,Hero,5.0
5068,1310,Hero,5.0
5069,1311,Hero,5.0
5070,1312,Hero,5.0
5073,1315,Hero,17.0
5074,1316,Hero,2.0
5075,1317,Hero,5.0
5081,1323,Hero,5.0
5082,1324,Hero,2.0
5084,1326,Hero,5.0
5087,1329,Hero,2.0
5088,1330,Hero,5.0
5089,1331,Hero,2.0
5093,1335,Hero,49.0
5094,1336,Hero,2.0
5095,1337,Hero,2.0
5100,1342,Hero,2.0
5101,1343,Hero,5.0
5102,1344,Hero,15.0
5103,1345,Hero,158.0
5106,1348,Hero,2.0
5107,1349,Hero,5.0
5108,1350,Hero,106.0
5112,1354,Hero,2.0
5113,1355,Hero,17.0
5118,1360,Hero,2.0
5119,1361,Hero,5.0
5124,1366,Hero,105.0
5125,1367,Hero,2.0
5126,1368,Hero,53.0
5127,1369,Hero,500.0
5129,1371,Hero,50.0
5130,1372,Hero,5.0
5135,1377,Hero,2.0
5136,1378,Hero,5.0
5137,1379,Hero,5.0
5138,1380,Hero,476.0
5139,1381,Hero,34.0
5140,1382,Hero,5.0
5141,1383,Hero,103.0
5144,1386,Hero,2.0
5145,1387,Hero,35.0
5146,1388,Hero,17.0
5147,1389,Hero,15.0
5148,1390,Hero,15.0
5149,1391,Hero,15.0
5151,1393,Hero,2.0
5152,1394,Hero,2.0
5153,1395,Hero,82.0
5154,1396,Hero,1.0
5155,1397,Hero,2.0
5157,1399,Hero,10.0
5162,1404,Hero,2.0
5163,1405,Hero,1.0
5167,1409,Hero,20.0
5168,1410,Hero,2.0
5169,1411,Hero,1.0
5173,1415,Hero,2.0
5178,1420,Hero,1.0
5179,1421,Hero,2.0
5180,1422,Hero,2.0
5181,1423,Hero,1.0
5184,1426,Hero,2.0
5188,1430,Hero,7.0
5191,1433,Hero,6.0
5193,1435,Hero,1.0
5194,1436,Hero,5.0
5200,1442,Hero,2.0
5201,1443,Hero,5.0
5205,1447,Hero,2.0
5206,1448,Hero,1.0
5207,1449,Hero,31.0
5209,1451,Hero,30.0
5210,1452,Hero,2.0
5211,1453,Hero,1.0
5217,1459,Hero,6.0
5219,1461,Hero,1.0
5220,1462,Hero,1.0
5222,1464,Hero,2.0
5227,1469,Hero,1.0
5228,1470,Hero,12.0
5230,1472,Hero,17.0
5234,1476,Hero,1.0
5237,1479,Hero,1.0
5241,1483,Hero,6.0
5242,1484,Hero,4.0
5248,1490,Hero,2.0
5250,1492,Hero,1.0
5253,1495,Hero,2.0
5254,1496,Hero,2.0
5255,1497,Hero,1.0
5257,1499,Hero,1.0
5260,1502,Hero,4.0
5263,1505,Hero,2.0
5266,1508,Hero,1.0
5267,1509,Hero,1.0
5270,1512,Hero,6.0
5271,1513,Hero,1.0
5272,1514,Hero,2.0
5277,1519,Hero,1.0
5278,1520,Hero,2.0
5284,1526,Hero,1.0
5285,1527,Hero,12.0
5290,1532,Hero,2.0
5292,1534,Hero,1.0
5297,1539,Hero,1.0
5298,1540,Hero,70.0
5303,1545,Hero,1.0
5304,1546,Hero,1.0
5306,1548,Hero,1.0
5308,1550,Hero,2.0
5310,1552,Hero,1.0
5311,1553,Hero,2.0
5312,1554,Hero,6.0
5314,1556,Hero,1.0
5317,1559,Hero,5.0
5319,1561,Hero,52.0
5321,1563,Hero,6.0
5322,1564,Hero,2.0
5323,1565,Hero,15.0
5327,1569,Hero,7.0
5328,1570,Hero,2.0
5333,1575,Hero,9.0
5334,1576,Hero,2.0
5335,1577,Hero,1.0
5340,1582,Hero,21.0
5341,1583,Hero,1.0
5345,1587,Hero,40.0
5346,1588,Hero,1.0
5347,1589,Hero,1.0
5348,1590,Hero,6.0
5352,1594,Hero,1.0
5353,1595,Hero,1.0
5357,1599,Hero,2.0
5358,1600,Hero,1.0
5359,1601,Hero,1.0
5364,1606,Hero,2.0
5365,1607,Hero,1.0
5368,1610,Hero,29.0
5370,1612,Hero,1.0
5371,1613,Hero,2.0
5377,1619,Hero,1.0
5378,1620,Hero,2.0
5379,1621,Hero,12.0
5380,1622,Hero,148.0
5381,1623,Hero,1.0
5386,1628,Hero,1.0
5388,1630,Hero,11.0
5393,1635,Hero,1.0
5394,1636,Hero,2.0
5398,1640,Hero,2.0
5399,1641,Hero,1.0
5402,1644,Hero,6.0
5403,1645,Hero,2.0
5404,1646,Hero,1.0
5405,1647,Hero,72.0
5406,1648,Hero,7.0
5407,1649,Hero,2.0
5408,1650,Hero,6.0
5411,1653,Hero,1.0
5414,1656,Hero,4.0
5415,1657,Hero,25.0
5416,1658,Hero,2.0
5417,1659,Hero,6.0
5420,1662,Hero,1.0
5423,1665,Hero,2.0
5425,1667,Hero,30.0
5428,1670,Hero,12.0
5429,1671,Hero,1.0
5434,1676,Hero,2.0
5435,1677,Hero,2.0
5439,1681,Hero,1.0
5440,1682,Hero,2.0
5442,1684,Hero,2.0
5446,1688,Hero,1.0
5448,1690,Hero,1.0
5449,1691,Hero,7.0
5451,1693,Hero,2.0
5452,1694,Hero,2.0
5453,1695,Hero,2.0
5457,1699,Hero,6.0
5459,1701,Hero,7.0
5460,1702,Hero,2.0
5465,1707,Hero,1.0
5466,1708,Hero,2.0
5469,1711,Hero,58.0
5471,1713,Hero,37.0
5472,1714,Hero,1.0
5473,1715,Hero,41.0
5477,1719,Hero,1.0
5478,1720,Hero,17.0
5483,1725,Hero,1.0
5484,1726,Hero,2.0
5485,1727,Hero,13.0
5489,1731,Hero,1.0
5490,1732,Hero,2.0
5493,1735,Hero,8.0
5496,1738,Hero,1.0
5497,1739,Hero,1.0
5498,1740,Hero,97.0
5499,1741,Hero,1.0
5504,1746,Hero,95.0
5505,1747,Hero,19.0
5507,1749,Hero,6.0
5509,1751,Hero,6.0
5511,1753,Hero,1.0
5512,1754,Hero,7.0
5513,1755,Hero,2.0
5514,1756,Hero,30.0
5516,1758,Hero,2.0
5517,1759,Hero,11.0
5518,1760,Hero,2.0
5519,1761,Hero,90.0
5520,1762,Hero,2.0
5526,1768,Hero,7.0
5527,1769,Hero,1.0
5528,1770,Hero,12.0
5529,1771,Hero,36.0
5533,1775,Hero,12.0
5534,1776,Hero,22.0
5535,1777,Hero,1.0
5537,1779,Hero,84.0
5538,1780,Hero,2.0
5540,1782,Hero,78.0
5543,1785,Hero,1.0
5544,1786,Hero,2.0
5549,1791,Hero,1.0
5550,1792,Hero,2.0
5551,1793,Hero,6.0
5552,1794,Hero,2.0
5555,1797,Hero,4.0
5556,1798,Hero,1.0
5561,1803,Hero,6.0
5562,1804,Hero,1.0
5563,1805,Hero,2.0
5564,1806,Hero,100.0
5568,1810,Hero,4.0
5569,1811,Hero,2.0
5577,1819,Hero,1.0
5578,1820,Hero,2.0
5581,1823,Hero,2.0
5582,1824,Hero,1.0
5583,1825,Hero,18.0
5585,1827,Hero,6.0
5588,1830,Hero,2.0
5589,1831,Hero,1.0
5592,1834,Hero,2.0
5594,1836,Hero,1.0
5600,1842,Hero,4.0
5602,1844,Hero,1.0
